CustomerID,first_purchase,last_purchase,frequency,items_count,monetary,product_diversity,returned_orders,returned_items,return_rate,recency,tenure_days,aov,avg_days_between_orders,cluster_id,pca_x,pca_y,churn_risk_score,projected_clv_6m,projected_clv_12m,segment_persona,recommended_action
12747,2010-12-05 15:38:00,2011-12-07 14:34:00,11,1275,4196.01,42,0.0,0.0,0.0,2,369,381.46,36.7,0,0.6954,0.0086,9.4,488.85,940.11,Champions (VIP),"Exclusive VIP preview, concierge service, high-tier loyalty gifts."
12749,2011-05-10 15:25:00,2011-12-06 09:56:00,5,1471,4090.88,160,3.0,49.0,37.5,4,213,818.18,52.2,0,0.4899,-0.0848,10.1,819.29,1575.55,Champions (VIP),"Exclusive VIP preview, concierge service, high-tier loyalty gifts."
12820,2011-01-17 12:34:00,2011-12-06 15:12:00,4,722,942.34,55,0.0,0.0,0.0,3,327,235.58,108.0,0,0.4415,-0.2147,9.4,123.88,238.24,Loyal Customers,"Cross-sell premium categories, early bird access, referral incentives."
12821,2011-05-09 15:51:00,2011-05-09 15:51:00,1,70,92.72,6,0.0,0.0,0.0,214,214,92.72,214.0,1,-0.3929,-0.0346,61.3,7.96,15.3,Hibernating / Inactive,"Automated reactivation campaign, steep 20% discount offer, clearance alerts."
12822,2011-09-13 13:46:00,2011-09-30 10:04:00,2,550,948.88,41,1.0,2.0,33.33,71,87,474.44,16.0,3,-0.0807,0.0217,74.1,127.8,245.76,Potential Loyalists,"Offer bundle discounts, volume incentives, brand engagement newsletters."
12823,2011-02-16 12:15:00,2011-09-26 07:35:00,5,230,1759.5,1,0.0,0.0,0.0,75,297,351.9,55.5,3,0.0603,0.2086,44.0,157.42,302.73,Potential Loyalists,"Offer bundle discounts, volume incentives, brand engagement newsletters."
12824,2011-10-11 12:49:00,2011-10-11 12:49:00,1,232,397.12,25,0.0,0.0,0.0,60,60,397.12,60.0,2,-0.1599,-0.1255,34.6,135.05,259.72,Low Value Occasional,Target with low-barrier impulse buys and seasonal holiday campaigns.
12826,2010-12-09 15:21:00,2011-12-07 10:25:00,7,1058,1474.72,58,1.0,4.0,12.5,3,365,210.67,60.3,0,0.5435,-0.0911,9.6,173.31,333.28,Loyal Customers,"Cross-sell premium categories, early bird access, referral incentives."
12827,2011-10-26 15:44:00,2011-12-04 12:17:00,3,197,430.15,19,0.0,0.0,0.0,6,44,143.38,19.0,2,0.2919,-0.2299,13.0,194.6,374.22,Potential Loyalists,"Offer bundle discounts, volume incentives, brand engagement newsletters."
12828,2011-08-01 16:16:00,2011-12-07 08:45:00,6,494,1018.71,46,0.0,0.0,0.0,3,130,169.78,25.4,0,0.5067,-0.1366,10.3,333.52,641.39,Loyal Customers,"Cross-sell premium categories, early bird access, referral incentives."
12829,2010-12-14 14:54:00,2011-01-07 11:13:00,2,376,293.0,9,1.0,1.0,33.33,337,360,146.5,23.0,1,-0.3473,0.1589,98.0,0.77,1.49,Hibernating / Inactive,"Automated reactivation campaign, steep 20% discount offer, clearance alerts."
